freq_hz,magnitude
0.0,0.013097302338209967
0.5,0.019769659491633243
1.0,0.011101644216976366
1.5,0.010341594117463224
2.0,0.011816019012562861
2.5,0.008976223305573208
3.0,0.023034383853859877
3.5,0.016876511680074622
4.0,0.004481761370344372
4.5,0.007551862528404586
5.0,0.9933439817209331
5.5,0.021432002914109835
6.0,0.006310430706091703
6.5,0.016546303891050638
7.0,0.00700905589517766
7.5,0.016770656327625876
8.0,0.009227553133063067
8.5,0.0129619655804051
9.0,0.015102232460435253
9.5,0.009412813891934952
10.0,0.012394502931108083
10.5,0.013716761180631388
11.0,0.004526738371880972
11.5,0.004091538212858092
12.0,0.026865797681194542
12.5,0.008714763551750104
13.0,0.027689477151228215
13.5,0.006643512055405454
14.0,0.00923005088305071
14.5,0.01465217130067371
15.0,0.014091846185016604
15.5,0.0027312393106963383
16.0,0.006313916333660155
16.5,0.007580073971546734
17.0,0.006014600044998072
17.5,0.020621514321366663
18.0,0.012933575110930602
18.5,0.014929159512798927
19.0,0.0037523764033536447
19.5,0.006197993043926441
20.0,0.6114836475372905
20.5,0.009544767488524045
21.0,0.016663494215537897
21.5,0.014719055099366066
22.0,0.007393109116409116
22.5,0.03767644651981488
23.0,0.0006718666278466145
23.5,0.007696593698745665
24.0,0.021027293532398086
24.5,0.0064744605872732695
25.0,0.007550027552464692
25.5,0.013468025869013293
26.0,0.031740171180322345
26.5,0.016469229785453943
27.0,0.004900786560633743
27.5,0.021540604900615493
28.0,0.00812129234290169
28.5,0.019781304387556996
29.0,0.00700798902665938
29.5,0.022547403117805877
30.0,0.02309986505574547
30.5,0.0068438916406656294
31.0,0.027917066859100472
31.5,0.006366299887886115
32.0,0.009784503245285164
32.5,0.010871426577876767
33.0,0.01966518633144356
33.5,0.0069607212871199645
34.0,0.012735549212297387
34.5,0.005576226428394675
35.0,0.024931484963563396
35.5,0.007058684544375204
36.0,0.008381152716848314
36.5,0.011135633051204604
37.0,0.019996193781930984
37.5,0.00955114297826949
38.0,0.011071227768225661
38.5,0.016565775597330676
39.0,0.007538244026039374
39.5,0.014374458829755481
