t_s,amplitude
0.0,0.040873459782189314
0.002,0.30273146703898884
0.004,0.5249140095998212
0.006,1.116223106120181
0.008,0.6210216110070458
0.01,1.0672801495748454
0.012,0.9951784519144751
0.014,0.6351933677701088
0.016,0.15437109025888462
0.018,1.4925363684542914
0.02,0.8255290992513264
0.022,0.9190219091338429
0.024,1.418519249678775
0.026,1.1469896386365674
0.028,0.20571323069877656
0.03,0.603625703936486
0.032,0.41505240004637567
0.034,0.04621275649693343
0.036,-0.5461431377474506
0.038,-0.3485197455289676
0.04,0.5384412275929511
0.042,0.6350211007755034
0.044,0.610298346373987
0.046,1.3822234992814253
0.048,1.1891646370496465
0.05,1.0301450144616913
0.052,0.8937520351227285
0.054,1.321112268300981
0.056,1.2022695957336154
0.058,1.5135757097169078
0.06,1.4078269681290083
0.062,1.466455874653392
0.064,2.166095754898437
0.066,1.7884651289305686
0.068,0.9898547522923856
0.07,0.8502886268005155
0.072,0.6347678139808638
0.074,0.2513672155791703
0.076,0.23477985072540725
0.078,0.13064871518031573
0.08,0.6432245619094525
0.082,0.49425884293830136
0.084,0.4457774780466527
0.086,0.5798051149681855
0.088,0.150668340610797
0.09,-0.5308043820773416
0.092,-0.5715980581864112
0.094,0.04157161106946994
0.096,-0.37226992518432145
0.098,-0.10766994934320787
0.1,-0.07965061496855853
0.102,0.2859040271995203
0.104,0.4816642410633011
0.106,0.7915037048516949
0.108,0.07307270029002927
0.11,0.2796145003575961
0.112,0.1487758052229156
0.114,-0.4697085471564852
0.116,-0.12680847320671979
0.118,-0.28253305520983024
0.12,-0.8378591624678984
0.122,-0.4371618069584466
0.124,-0.35544017544999745
0.126,-0.557781940845486
0.128,-0.8403188871490391
0.13,-1.0307589683594973
0.132,-1.4340184424344429
0.134,-1.686275008302277
0.136,-1.6911016501078444
0.138,-1.5102919271665305
0.14,-1.475648774400328
0.142,-1.4968477957356932
0.144,-1.2044359846221302
0.146,-0.8493708545972263
0.148,-0.9688580580257691
0.15,-1.1826710382621028
0.152,-1.156894180030024
0.154,-1.2547365029370747
0.156,-0.9706281408857541
0.158,-0.5303314677938723
0.16,-0.35631267313077475
0.162,-0.4199057567876458
0.164,0.1306615270604285
0.166,-0.0329627348853697
0.168,-0.009117449904459535
0.17,-0.5243898118516823
0.172,-1.149430956600403
0.174,-1.1362828555825863
0.176,-1.1682784789001923
0.178,-0.723268995007454
0.18,-1.1703068715794935
0.182,-0.7255358068156468
0.184,-0.9017791633906689
0.186,-0.6251740875453048
0.188,-0.7958835403325106
0.19,-1.1478779645995263
0.192,-0.5196813739212915
0.194,-0.7373331860563753
0.196,-0.6955958183343021
0.198,-0.38209705449058423
0.2,-0.05599558111249067
0.202,0.35535279519059787
0.204,0.8527578380846861
0.206,0.5099892571080538
0.208,0.9137548183637189
0.21,0.6688686639356595
0.212,0.7340456589443807
0.214,0.852521636601797
0.216,0.7595144800895283
0.218,0.8643447164721221
0.22,1.0571901906594074
0.222,0.7665502382787639
0.224,0.8319030246483273
0.226,1.09235062450507
0.228,0.5585849065298891
0.23,0.4102797283587984
0.232,-0.06971089761890872
0.234,-0.1962503785910097
0.236,0.2768722094371824
0.238,0.3761823817646568
0.24,0.919884236479106
0.242,-0.0964080278594801
0.244,0.8389797481224882
0.246,1.1097434815558358
0.248,0.6636242319802896
0.25,0.8883120642205292
0.252,1.0404263612799194
0.254,1.2516285339155304
0.256,1.6058149121886094
0.258,1.3248298042503948
0.26,1.6419253835784706
0.262,1.5939744906220825
0.264,1.4346330704182053
0.266,1.690162822402297
0.268,1.4104840893335806
0.27,1.1953702991815462
0.272,0.950463954511344
0.274,0.4200862155174936
0.276,0.3058094449160732
0.278,0.5844335751485887
0.28,0.06914735622033347
0.282,0.5243881318589545
0.284,0.5255072715807096
0.286,-0.17142154260018244
0.288,-0.4192365818995559
0.29,-0.09798106524294165
0.292,-0.5546292371099791
0.294,-0.5959410023769961
0.296,-0.5408243961087744
0.298,-0.2784776252560826
0.3,0.15051629933891084
0.302,0.44880294173375607
0.304,0.5522695247583222
0.306,0.48932112633202113
0.308,0.6514554997959074
0.31,0.2118366667319879
0.312,0.10969788394457652
0.314,-0.35674124882468927
0.316,0.0011261683064610617
0.318,-0.4793050268935198
0.32,-0.14731667219984135
0.322,0.10693510119352734
0.324,-0.2858641966900719
0.326,-0.5246307451835379
0.328,-0.24961222139168748
0.33,-1.4602519747238518
0.332,-1.7041096379901335
0.334,-2.1297953162964296
0.336,-1.7370292087149706
0.338,-1.7081204698298968
0.34,-1.5976522199428393
0.342,-1.296475221038279
0.344,-1.4339925045267166
0.346,-0.6253463720437934
0.348,-1.3235491703550848
0.35,-0.9767805602977582
0.352,-1.2062449134547695
0.354,-1.0330093585986542
0.356,-0.7323014011456553
0.358,-0.47294032181885937
0.36,0.10063977076508812
0.362,0.005837194297969139
0.364,-0.25070092352962614
0.366,-0.18892971805151668
0.368,-0.10778923471349393
0.37,-0.13054222835102186
0.372,-0.4979980041746882
0.374,-0.8266065341818792
0.376,-1.162755176034743
0.378,-1.1490617497310032
0.38,-1.3201652254548595
